shop_id,feedback_rating,feedback_comment,delivery_timestamp
Shop_G,5,"Excellent quality, fast delivery!",2025-02-24 02:26:59
Shop_A,4,Great service as always.,2024-11-18 06:26:34
Shop_A,2,"Poor quality items, some were stale.",2024-12-09 18:21:27
Shop_V,4,Timely delivery and good products.,2024-10-08 01:25:44
Shop_S,2,Items not as expected.,2024-12-27 22:29:35
Shop_S,3,"Excellent quality, fast delivery!",2024-11-19 16:57:51
Shop_F,4,Items were fresh and well-packed.,2025-01-21 02:46:38
Shop_K,5,Timely delivery and good products.,2025-02-01 22:52:54
Shop_P,5,Items were fresh and well-packed.,2025-01-23 04:55:17
Shop_K,5,"Excellent quality, fast delivery!",2025-01-04 11:56:53
Shop_U,4,Timely delivery and good products.,2024-12-06 00:15:48
Shop_Y,1,Some items were damaged.,2024-10-01 23:16:03
Shop_U,3,Items were fresh and well-packed.,2024-12-07 12:56:07
Shop_O,1,Delivery was very late.,2024-12-31 01:26:27
Shop_M,3,Timely delivery and good products.,2024-10-10 12:35:46
Shop_A,5,Great service as always.,2024-09-06 02:39:13
Shop_O,5,Items were fresh and well-packed.,2024-12-27 20:28:14
Shop_N,4,Items were fresh and well-packed.,2025-01-19 11:51:40
Shop_Z,5,"Excellent quality, fast delivery!",2024-09-04 23:00:01
Shop_Z,5,Very satisfied with the shop.,2024-12-15 19:49:39
Shop_S,3,Great service as always.,2024-12-19 05:30:29
Shop_C,5,"Excellent quality, fast delivery!",2024-12-10 05:02:54
Shop_Z,3,"Excellent quality, fast delivery!",2024-10-09 08:59:12
Shop_Y,3,Items were fresh and well-packed.,2024-10-10 22:36:19
Shop_U,4,Items were fresh and well-packed.,2024-11-05 16:55:31
Shop_C,3,"Excellent quality, fast delivery!",2025-01-04 23:09:55
Shop_Y,5,Timely delivery and good products.,2024-10-22 12:51:52
Shop_V,3,Very satisfied with the shop.,2024-10-25 20:43:19
Shop_X,4,Timely delivery and good products.,2024-10-17 13:58:05
Shop_J,4,Very satisfied with the shop.,2025-02-09 23:25:02
Shop_S,4,Very satisfied with the shop.,2025-01-05 05:19:09
Shop_T,3,Very satisfied with the shop.,2024-11-10 11:09:46
Shop_G,2,Some items were damaged.,2024-11-22 02:15:33
Shop_G,4,Timely delivery and good products.,2024-09-14 13:42:12
Shop_N,2,Unsatisfactory service.,2025-02-21 04:58:49
Shop_F,3,Timely delivery and good products.,2024-10-14 00:13:27
Shop_S,3,Great service as always.,2024-11-09 07:12:15
Shop_C,5,Great service as always.,2024-09-06 08:38:59
Shop_B,3,Items were fresh and well-packed.,2025-01-18 18:58:47
Shop_J,5,Very satisfied with the shop.,2025-01-05 19:46:11
Shop_Z,5,Great service as always.,2024-11-20 02:02:16
Shop_X,2,"Poor quality items, some were stale.",2024-11-10 12:11:53
Shop_Z,5,Very satisfied with the shop.,2025-01-30 05:29:35
Shop_G,1,Delivery was very late.,2024-09-01 01:43:10
Shop_Z,2,Unsatisfactory service.,2024-11-04 08:43:55
Shop_B,3,Timely delivery and good products.,2024-12-06 23:05:29
Shop_W,4,"Excellent quality, fast delivery!",2024-09-04 19:21:21
Shop_V,3,Great service as always.,2024-10-02 09:07:03
Shop_I,2,"Poor quality items, some were stale.",2025-01-12 09:52:48
Shop_R,5,Items were fresh and well-packed.,2025-02-23 11:27:06
Shop_E,5,Great service as always.,2024-09-07 19:59:34
Shop_A,3,Timely delivery and good products.,2024-11-12 03:27:44
Shop_X,5,Great service as always.,2025-01-14 10:30:06
Shop_J,1,Delivery was very late.,2024-11-06 14:11:33
Shop_W,5,Very satisfied with the shop.,2024-12-01 23:34:53
Shop_N,4,Items were fresh and well-packed.,2025-01-16 01:07:20
Shop_G,4,Great service as always.,2025-01-01 11:35:42
Shop_M,5,"Excellent quality, fast delivery!",2024-12-04 01:43:40
Shop_W,3,Timely delivery and good products.,2024-10-19 20:46:38
Shop_V,3,Very satisfied with the shop.,2025-02-03 15:05:59
Shop_Q,5,Great service as always.,2024-11-22 06:52:20
Shop_Z,5,Items were fresh and well-packed.,2024-11-08 10:03:28
Shop_F,5,Very satisfied with the shop.,2025-02-12 01:29:21
Shop_O,2,Some items were damaged.,2024-12-20 08:16:39
Shop_S,3,Timely delivery and good products.,2025-02-20 19:44:12
Shop_D,3,Timely delivery and good products.,2024-09-21 07:02:33
Shop_O,4,Timely delivery and good products.,2024-12-24 23:21:22
Shop_O,3,Items were fresh and well-packed.,2024-11-28 22:52:58
Shop_G,1,Some items were damaged.,2024-09-25 02:30:18
Shop_X,5,Timely delivery and good products.,2024-10-04 06:36:43
Shop_T,3,Items were fresh and well-packed.,2024-10-11 21:18:11
Shop_S,2,"Poor quality items, some were stale.",2025-01-06 15:06:09
Shop_J,4,Timely delivery and good products.,2025-02-04 15:24:25
Shop_M,3,Items were fresh and well-packed.,2024-11-08 19:27:05
Shop_O,4,"Excellent quality, fast delivery!",2024-09-19 09:19:58
Shop_U,5,Timely delivery and good products.,2024-09-13 10:11:52
Shop_E,5,Items were fresh and well-packed.,2024-12-15 10:36:24
Shop_Z,4,Items were fresh and well-packed.,2024-11-04 02:11:22
Shop_P,3,"Excellent quality, fast delivery!",2025-01-23 17:10:42
Shop_A,4,"Excellent quality, fast delivery!",2025-02-16 06:56:46
Shop_S,3,Very satisfied with the shop.,2024-09-09 09:07:36
Shop_I,5,Great service as always.,2024-11-10 08:07:51
Shop_E,5,Timely delivery and good products.,2024-10-11 17:40:06
Shop_Y,5,Items were fresh and well-packed.,2024-09-15 23:04:39
Shop_F,5,Items were fresh and well-packed.,2024-12-24 07:09:33
Shop_T,5,Great service as always.,2024-11-25 12:36:27
Shop_S,4,"Excellent quality, fast delivery!",2025-01-24 06:27:24
Shop_L,3,Great service as always.,2024-11-14 15:58:30
Shop_L,5,Great service as always.,2025-01-20 17:19:32
Shop_M,4,"Excellent quality, fast delivery!",2024-11-26 21:39:56
Shop_D,5,Great service as always.,2024-09-04 12:55:22
Shop_R,4,"Excellent quality, fast delivery!",2025-01-20 21:09:18
Shop_K,5,"Excellent quality, fast delivery!",2025-01-01 18:24:51
Shop_X,3,Great service as always.,2024-12-30 13:53:40
Shop_Z,5,Items were fresh and well-packed.,2024-11-02 16:04:18
Shop_I,4,Items were fresh and well-packed.,2024-10-06 04:55:41
Shop_B,5,Items were fresh and well-packed.,2025-02-05 15:50:10
Shop_V,5,Great service as always.,2025-02-17 20:06:42
Shop_E,5,"Excellent quality, fast delivery!",2024-09-18 07:14:46
Shop_R,4,Items were fresh and well-packed.,2024-12-16 12:02:07
Shop_J,5,Great service as always.,2025-01-05 01:43:03
Shop_S,5,Very satisfied with the shop.,2024-09-27 23:15:42
Shop_G,3,Timely delivery and good products.,2024-11-03 18:55:17
Shop_P,5,Great service as always.,2024-10-19 19:29:43
Shop_D,5,Very satisfied with the shop.,2024-11-15 06:32:39
Shop_G,3,Timely delivery and good products.,2024-09-04 00:58:33
Shop_R,4,Timely delivery and good products.,2024-11-12 21:28:14
Shop_X,4,"Excellent quality, fast delivery!",2025-02-12 14:48:54
Shop_E,4,Timely delivery and good products.,2025-01-11 12:46:04
Shop_Y,4,Very satisfied with the shop.,2024-12-26 04:02:13
Shop_C,3,Very satisfied with the shop.,2024-10-07 21:22:49
Shop_D,5,Very satisfied with the shop.,2024-12-01 10:09:17
Shop_Y,5,Timely delivery and good products.,2024-09-13 21:16:54
Shop_J,2,Items not as expected.,2025-01-07 08:00:04
Shop_H,5,"Excellent quality, fast delivery!",2024-12-16 17:16:20
Shop_I,2,"Poor quality items, some were stale.",2024-09-29 18:55:18
Shop_E,3,"Excellent quality, fast delivery!",2025-02-11 11:40:55
Shop_N,3,Great service as always.,2024-10-06 18:55:13
Shop_H,3,Great service as always.,2025-01-11 16:59:06
Shop_Q,3,Very satisfied with the shop.,2024-09-19 17:00:35
Shop_O,3,Great service as always.,2024-09-14 23:04:51
Shop_G,4,Very satisfied with the shop.,2024-09-26 22:32:41
Shop_Z,2,Some items were damaged.,2025-01-24 13:54:15
Shop_O,2,Some items were damaged.,2024-12-22 08:47:37
Shop_L,5,Items were fresh and well-packed.,2024-11-30 23:00:49
Shop_T,5,Items were fresh and well-packed.,2024-12-07 07:49:17
Shop_M,5,Timely delivery and good products.,2024-11-07 05:20:21
Shop_Q,3,Great service as always.,2024-11-11 00:11:23
Shop_Z,5,Very satisfied with the shop.,2024-12-25 15:11:58
Shop_F,4,Great service as always.,2024-12-04 15:41:31
Shop_Q,4,Items were fresh and well-packed.,2024-12-25 10:19:28
Shop_X,5,Timely delivery and good products.,2024-12-04 13:13:45
Shop_P,4,Items were fresh and well-packed.,2024-12-08 06:08:58
Shop_U,4,Great service as always.,2024-10-26 16:42:59
Shop_Z,4,Great service as always.,2024-10-17 01:23:22
Shop_D,5,Timely delivery and good products.,2024-11-10 19:01:02
Shop_L,4,Timely delivery and good products.,2025-02-08 02:25:36
Shop_O,4,Great service as always.,2024-11-22 10:26:44
Shop_W,3,Items were fresh and well-packed.,2024-12-22 13:48:38
Shop_T,5,Great service as always.,2024-10-28 06:44:52
Shop_T,2,Unsatisfactory service.,2025-01-31 21:52:05
Shop_Y,5,Very satisfied with the shop.,2024-10-12 10:37:10
Shop_W,2,Items not as expected.,2024-09-16 16:29:34
Shop_O,4,Very satisfied with the shop.,2025-01-09 15:48:29
Shop_B,5,Very satisfied with the shop.,2025-02-23 15:35:35
Shop_M,3,Timely delivery and good products.,2024-09-08 11:08:45
Shop_U,3,Items were fresh and well-packed.,2024-10-07 19:41:37
Shop_N,3,Great service as always.,2024-11-26 16:37:02
Shop_Y,4,"Excellent quality, fast delivery!",2024-12-18 12:37:16
Shop_B,4,Items were fresh and well-packed.,2024-10-11 20:51:10
Shop_R,5,Great service as always.,2024-11-12 13:45:52
Shop_C,5,Great service as always.,2024-10-15 05:12:41
Shop_Y,5,"Excellent quality, fast delivery!",2024-11-03 14:42:30
Shop_O,5,Items were fresh and well-packed.,2024-10-09 23:29:46
Shop_K,3,"Excellent quality, fast delivery!",2024-12-10 07:04:08
Shop_H,4,Great service as always.,2024-11-16 06:31:06
Shop_H,3,Timely delivery and good products.,2024-10-07 07:32:06
Shop_A,4,"Excellent quality, fast delivery!",2024-12-20 17:00:27
Shop_T,5,Items were fresh and well-packed.,2024-10-29 03:43:16
Shop_T,3,Items were fresh and well-packed.,2024-10-31 01:26:50
Shop_W,3,"Excellent quality, fast delivery!",2024-10-24 05:13:49
Shop_W,3,"Excellent quality, fast delivery!",2024-12-08 14:34:43
Shop_Y,3,"Excellent quality, fast delivery!",2024-10-29 11:06:52
Shop_I,4,Timely delivery and good products.,2024-09-27 19:45:09
Shop_D,5,Timely delivery and good products.,2024-10-31 15:06:11
Shop_S,4,Great service as always.,2025-02-17 23:10:56
Shop_O,4,Great service as always.,2024-10-15 01:28:09
Shop_U,4,Very satisfied with the shop.,2024-09-09 12:53:46
Shop_G,5,Timely delivery and good products.,2025-02-04 12:30:09
Shop_C,4,Great service as always.,2025-01-21 12:17:58
Shop_L,4,"Excellent quality, fast delivery!",2024-09-29 21:50:32
Shop_T,4,Very satisfied with the shop.,2024-11-04 20:25:49
Shop_D,4,"Excellent quality, fast delivery!",2024-09-29 03:35:36
Shop_E,3,Items were fresh and well-packed.,2025-02-03 09:44:42
Shop_Q,2,Some items were damaged.,2025-02-04 16:52:23
Shop_W,5,Great service as always.,2024-11-30 12:41:12
Shop_Q,4,Items were fresh and well-packed.,2024-12-05 19:42:24
Shop_Q,3,Items were fresh and well-packed.,2024-08-31 17:14:00
Shop_K,4,Timely delivery and good products.,2024-11-02 01:45:14
Shop_T,4,Very satisfied with the shop.,2024-10-17 09:12:42
Shop_G,4,Items were fresh and well-packed.,2024-12-23 08:14:16
Shop_X,3,Great service as always.,2024-09-13 16:07:06
Shop_I,2,Unsatisfactory service.,2025-01-24 10:21:18
Shop_M,3,"Excellent quality, fast delivery!",2024-09-17 06:02:21
Shop_U,3,Items were fresh and well-packed.,2025-01-27 12:57:57
Shop_E,2,Some items were damaged.,2025-02-04 07:29:49
Shop_Z,4,Very satisfied with the shop.,2024-12-04 16:56:04
Shop_J,4,Very satisfied with the shop.,2025-02-04 21:25:39
Shop_Y,1,"Poor quality items, some were stale.",2024-09-01 17:08:24
Shop_S,3,Timely delivery and good products.,2025-01-02 21:29:42
Shop_U,2,Unsatisfactory service.,2024-09-17 23:49:29
Shop_Z,3,"Excellent quality, fast delivery!",2024-11-07 05:55:29
Shop_N,4,Great service as always.,2024-09-18 07:15:34
Shop_N,5,"Excellent quality, fast delivery!",2024-09-01 16:14:54
Shop_A,3,Items were fresh and well-packed.,2025-01-28 15:16:01
Shop_Q,3,Great service as always.,2024-12-17 02:52:51
Shop_Q,5,Great service as always.,2024-10-30 04:52:51
Shop_A,3,Items were fresh and well-packed.,2025-02-02 07:21:23
Shop_G,3,"Excellent quality, fast delivery!",2025-01-29 03:18:53
Shop_W,3,"Excellent quality, fast delivery!",2025-01-03 00:17:33
Shop_A,4,Items were fresh and well-packed.,2025-01-20 21:12:02
Shop_D,2,Delivery was very late.,2024-11-04 14:36:16
Shop_S,4,Items were fresh and well-packed.,2024-11-28 12:47:21
Shop_A,3,Timely delivery and good products.,2025-02-02 07:58:17
Shop_D,4,Timely delivery and good products.,2024-11-27 06:02:27
Shop_E,4,Very satisfied with the shop.,2025-02-22 10:30:40
Shop_A,2,Delivery was very late.,2024-12-27 23:40:25
Shop_X,4,"Excellent quality, fast delivery!",2024-12-06 07:06:53
Shop_W,3,Great service as always.,2024-12-27 07:06:37
Shop_Q,3,Great service as always.,2024-12-07 09:37:52
Shop_O,3,Very satisfied with the shop.,2025-02-06 09:56:43
Shop_A,2,Items not as expected.,2024-12-25 10:08:48
Shop_E,4,Items were fresh and well-packed.,2024-12-16 22:51:44
Shop_S,4,Timely delivery and good products.,2024-11-21 18:43:27
Shop_Z,4,Timely delivery and good products.,2024-09-27 12:22:13
Shop_F,5,Great service as always.,2025-02-06 04:19:15
Shop_Z,5,Very satisfied with the shop.,2024-11-17 07:45:03
Shop_D,3,Timely delivery and good products.,2025-01-02 01:18:30
Shop_I,4,Items were fresh and well-packed.,2025-02-22 05:52:06
Shop_P,4,"Excellent quality, fast delivery!",2024-11-10 18:04:55
Shop_B,3,Items were fresh and well-packed.,2024-11-14 15:12:35
Shop_D,3,Items were fresh and well-packed.,2025-01-21 13:18:55
Shop_D,3,Very satisfied with the shop.,2024-10-18 19:13:37
Shop_S,4,Very satisfied with the shop.,2024-09-05 23:21:09
Shop_L,4,Great service as always.,2024-10-25 08:15:48
Shop_H,3,Great service as always.,2024-09-19 20:41:39
Shop_F,5,Timely delivery and good products.,2024-12-17 23:50:47
Shop_F,4,Items were fresh and well-packed.,2025-01-02 04:11:14
Shop_Q,3,Very satisfied with the shop.,2025-02-18 03:17:54
Shop_D,4,Very satisfied with the shop.,2025-01-30 21:51:56
Shop_V,3,Timely delivery and good products.,2024-09-23 23:55:45
Shop_U,4,Timely delivery and good products.,2025-02-16 08:06:17
Shop_Q,3,Timely delivery and good products.,2024-12-18 14:25:53
Shop_R,4,Very satisfied with the shop.,2024-10-15 16:01:19
Shop_M,5,Great service as always.,2024-11-07 17:07:26
Shop_F,3,"Excellent quality, fast delivery!",2024-09-26 08:17:46
Shop_R,3,"Excellent quality, fast delivery!",2024-11-30 03:51:57
Shop_C,4,"Excellent quality, fast delivery!",2025-01-24 22:16:32
Shop_G,4,Timely delivery and good products.,2025-01-19 12:42:50
Shop_F,3,"Excellent quality, fast delivery!",2024-11-06 06:17:22
Shop_U,2,"Poor quality items, some were stale.",2025-01-26 17:19:40
Shop_U,4,Very satisfied with the shop.,2024-09-17 21:05:37
Shop_G,5,Great service as always.,2025-01-01 16:14:59
Shop_P,4,Great service as always.,2024-11-23 11:17:32
Shop_C,5,Timely delivery and good products.,2024-09-18 21:46:50
Shop_B,5,"Excellent quality, fast delivery!",2024-11-06 14:23:33
Shop_S,5,Timely delivery and good products.,2025-02-04 19:49:43
Shop_R,3,Great service as always.,2024-09-10 00:19:57
Shop_S,5,"Excellent quality, fast delivery!",2025-01-05 03:48:44
Shop_Z,3,Very satisfied with the shop.,2024-10-04 15:11:53
Shop_U,5,"Excellent quality, fast delivery!",2024-11-09 12:45:24
Shop_U,5,Very satisfied with the shop.,2024-10-10 00:08:16
Shop_U,4,Timely delivery and good products.,2025-02-21 05:17:51
Shop_U,5,Very satisfied with the shop.,2024-08-31 16:02:01
Shop_T,3,"Excellent quality, fast delivery!",2024-09-22 05:49:13
Shop_T,3,"Excellent quality, fast delivery!",2024-12-14 07:49:23
Shop_D,4,"Excellent quality, fast delivery!",2025-01-02 14:06:29
Shop_O,3,Timely delivery and good products.,2025-01-17 17:35:08
Shop_M,4,Items were fresh and well-packed.,2025-01-04 17:02:27
Shop_E,5,Items were fresh and well-packed.,2024-08-31 19:43:41
Shop_O,3,Very satisfied with the shop.,2024-11-01 07:07:25
Shop_P,4,Timely delivery and good products.,2024-11-04 21:04:38
Shop_O,3,Great service as always.,2024-12-06 04:17:27
Shop_N,3,"Excellent quality, fast delivery!",2024-10-02 21:36:00
Shop_H,3,Very satisfied with the shop.,2024-11-05 07:41:04
Shop_X,4,Items were fresh and well-packed.,2024-12-31 11:15:47
Shop_I,4,Great service as always.,2024-09-26 09:37:40
Shop_E,5,Items were fresh and well-packed.,2024-12-22 10:37:53
Shop_Z,3,Timely delivery and good products.,2024-09-08 01:53:37
Shop_Z,5,"Excellent quality, fast delivery!",2024-12-02 07:38:57
Shop_D,4,"Excellent quality, fast delivery!",2024-12-25 07:30:08
Shop_H,3,Timely delivery and good products.,2025-02-21 09:10:31
Shop_S,2,"Poor quality items, some were stale.",2024-12-07 06:08:13
Shop_G,5,"Excellent quality, fast delivery!",2024-12-06 08:49:21
Shop_H,4,Items were fresh and well-packed.,2024-09-04 07:58:58
Shop_S,4,Great service as always.,2024-09-22 20:51:24
Shop_K,1,Items not as expected.,2024-11-20 22:00:16
Shop_U,4,Items were fresh and well-packed.,2024-09-26 10:41:21
Shop_B,4,Very satisfied with the shop.,2025-02-09 09:07:10
Shop_B,3,"Excellent quality, fast delivery!",2025-02-25 09:34:17
Shop_T,5,Very satisfied with the shop.,2025-01-23 03:55:45
Shop_I,3,Items were fresh and well-packed.,2024-10-08 12:45:30
Shop_H,1,Delivery was very late.,2024-12-06 08:11:50
Shop_B,4,Great service as always.,2025-01-04 07:07:11
Shop_L,4,Items were fresh and well-packed.,2024-12-06 00:07:09
Shop_U,5,"Excellent quality, fast delivery!",2024-11-18 21:51:59
Shop_A,5,Items were fresh and well-packed.,2024-10-09 05:43:29
Shop_O,4,Items were fresh and well-packed.,2024-11-28 17:24:50
Shop_L,4,"Excellent quality, fast delivery!",2025-02-15 18:31:36
Shop_S,3,Great service as always.,2024-12-07 17:20:50
Shop_T,4,Great service as always.,2025-01-07 06:05:15
Shop_Q,3,Great service as always.,2025-01-24 09:34:07
Shop_H,5,Very satisfied with the shop.,2024-10-06 13:28:30
Shop_X,2,Some items were damaged.,2025-01-06 01:32:37
Shop_Z,5,Very satisfied with the shop.,2024-11-11 04:59:07
Shop_D,2,"Poor quality items, some were stale.",2025-01-03 13:20:55
Shop_R,4,Very satisfied with the shop.,2025-01-03 04:56:47
Shop_P,3,Great service as always.,2024-12-08 09:59:19
Shop_X,3,Timely delivery and good products.,2025-01-05 13:06:47
Shop_S,5,Great service as always.,2024-10-12 00:52:15
Shop_T,2,"Poor quality items, some were stale.",2024-09-08 02:27:41
Shop_C,1,"Poor quality items, some were stale.",2024-09-09 01:48:59
Shop_Z,4,Timely delivery and good products.,2024-11-23 07:12:18
Shop_B,4,Very satisfied with the shop.,2025-02-06 18:37:26
Shop_Z,3,"Excellent quality, fast delivery!",2024-10-25 05:52:49
Shop_S,5,Very satisfied with the shop.,2025-01-10 16:46:07
Shop_B,5,Items were fresh and well-packed.,2025-01-24 07:22:41
Shop_P,2,Items not as expected.,2025-01-03 02:32:58
Shop_J,3,"Excellent quality, fast delivery!",2025-01-22 15:29:43
Shop_Y,5,Timely delivery and good products.,2024-09-11 02:47:46
Shop_Q,5,"Excellent quality, fast delivery!",2025-01-07 22:52:40
Shop_W,3,Timely delivery and good products.,2025-02-10 05:31:14
Shop_A,5,Items were fresh and well-packed.,2024-10-06 07:33:22
Shop_L,5,Timely delivery and good products.,2024-11-03 11:42:54
Shop_B,5,"Excellent quality, fast delivery!",2025-01-05 00:14:33
Shop_O,5,"Excellent quality, fast delivery!",2025-01-06 11:43:48
Shop_W,2,Delivery was very late.,2024-09-28 01:02:17
Shop_W,4,"Excellent quality, fast delivery!",2024-10-31 16:10:28
Shop_M,4,Items were fresh and well-packed.,2024-10-18 04:08:31
Shop_G,5,"Excellent quality, fast delivery!",2024-09-23 10:35:11
Shop_O,4,"Excellent quality, fast delivery!",2024-11-08 19:49:12
Shop_K,3,Items were fresh and well-packed.,2024-11-23 00:38:53
Shop_F,4,Very satisfied with the shop.,2024-12-09 18:56:11
Shop_A,4,Timely delivery and good products.,2025-01-14 09:56:44
Shop_T,4,Great service as always.,2025-02-17 12:58:33
Shop_N,4,Timely delivery and good products.,2024-12-19 22:24:11
Shop_L,5,Items were fresh and well-packed.,2025-01-17 20:05:23
Shop_U,5,Timely delivery and good products.,2025-02-03 08:18:54
Shop_I,1,Unsatisfactory service.,2024-10-31 18:09:15
Shop_G,5,Very satisfied with the shop.,2024-09-07 09:07:12
Shop_Q,2,Unsatisfactory service.,2025-02-18 22:45:09
